Key,2014,2013,2012,2011,Start,Grade,Pay/Free/Unk/NA,APC,Note,Subject,Group,Area
XN04908,,,,,2012,X,N,$0 ,404,Engineering,E&T,S
XN06113,,,,,2012,X,N,$0 ,404,Engineering,E&T,S
XN07797,,,,,2012,X,N,$0 ,URL goes to publisher's mobile site,Engineering,E&T,S
XN06019,,,,,2013,X,N,$0 ,Not listed on pub. Site,Engineering,E&T,S
XN09714,,,,,2013,X,N,$0 ,Parking page,Engineering,E&T,S
XN04434,,,,,2013,X,N,$0 ,404,Engineering,E&T,S
XN01518,,,,,1999,X,N,$0 ,404,History,H,H
XN05804,,,,,2003,X,N,$0 ,404,History,H,H
XN04880,,,,,2004,X,N,$0 ,404,History,H,H
XN01618,,,,,2005,X,N,$0 ,404,History,H,H
XN03024,,,,,2006,X,N,$0 ,Unreachable,History,H,H
XN09503,,,,,2007,X,N,$0 ,404,History,H,H
XN01054,,,,,2009,X,N,$0 ,404s for all internal links,History,H,H
XN02451,,,,,1996,X,N,$0 ,no response,Language and Literature,H,H
XN06843,,,,,1997,X,N,$0 ,Disappeared/borked,Language and Literature,H,H
XN09838,,,,,2002,X,N,$0 ,404,Language and Literature,H,H
XN06588,,,,,2003,X,N,$0 ,404,Language and Literature,H,H
XN01771,,,,,2004,X,N,$0 ,404,Language and Literature,H,H
XN03321,,,,,2004,X,N,$0 ,empty page,Language and Literature,H,H
XN02876,,,,,2005,X,N,$0 ,404,Language and Literature,H,H
XN07888,,,,,2007,X,N,$0 ,replaced with (Persian?) blog,Language and Literature,H,H
XN04027,,,,,2008,X,N,$0 ,Archives unreachable/borked,Language and Literature,H,H
XN05956,,,,,2009,X,N,$0 ,Unreachable,Language and Literature,H,H
XN02897,,,,,2010,X,N,$0 ,Unreachable,Language and Literature,H,H
XN09468,,,,,2010,X,N,$0 ,404,Language and Literature,H,H
XN08929,,,,,2010,X,N,$0 ,404,Language and literature,H,H
